AssetID,Age_at_inspection,Slope_corrected,Material,Height,Length,soil type,hydrologic_ordinal,Clog_score,clog_flooding_score_binary,Precipitation,Depth_ft,Max_Dicharge_closed_conduit_cfs,Flood_Risk_max,Cond_Risk_max,HSG*Prec/(D*H),HSG*Prec/D,HSG*Prec,Overall_Risk_max
9033,22.53992699,0.02,3,15,38.79657657,11,4,0,0,7.939,1.2,9.923221013,2.6,10,0.054568389,2.117066667,31.756,7.04
16431,22.55350217,0.02,3,12,13.12061928,21,5,0,0,10.378,3,5.473006486,2.6,30.8,0.329570318,4.324166667,51.89,16.2368
19275,21.29682866,0.02946417,3,36,95.03066432,21,5,5,0,9.879,0,124.3602014,3.5,15.98,0.014438322,1.372083333,49.395,9.9188
21360,41.89641798,0.02602671,4,8,38.42200183,2,2,0,0,8.927,6,1.815085641,7.085,4.68,0.058085209,2.23175,17.854,5.984
21754,18.60004563,0.02,3,24,163.2439157,6,3,0,0,7.326,1.5,34.75142502,10.6275,17,0.005609704,0.91575,21.978,14.6076
22815,23.94444444,0.04029536,3,18,191.0890181,22,5,0,0,9.97,5,22.90420256,0.78,13.26,0.014492954,2.769444444,49.85,6.6048
22820,23.21058636,0.06670745,3,15,152.9064681,22,5,7,0,10.075,1,18.12278074,8.625,1.44,0.021963318,3.358333333,50.375,3.612
27105,18.17841661,0.02,2,18,51.12949564,18,3,0,0,7.604,5,21.51500197,6.11,3.6,0.024786736,1.267333333,22.812,4.928
27274,28.44261921,0.0110274,3,36,126.9565334,2,2,0,0,7.604,0,76.08006501,17.42,3.6,0.003327473,0.422444444,15.208,8.0264
27780,42.61373488,0.02,3,18,168.3067909,6,3,0,0,9.896,5,16.13625148,3.38,29.5,0.009799565,1.649333333,29.688,16.1216
28768,27.42140087,0.02959187,3,15,40.5516796,2,2,0,0,11.226,5,12.0704614,3.38,23.1,0.036910925,1.4968,22.452,14.0672
28951,39.6131645,0.00988723,3,15,60.68431771,12,3,0,0,7.714,4,6.977100599,3.38,33,0.025423372,1.5428,23.142,18.0992
29937,18.06342688,0.04849111,3,15,140.2318838,2,2,0,0,10.153,4.5,15.45143179,5.33,55.76,0.009653535,1.353733333,20.306,31.1168
41442,20.08133698,0.02,3,30,62.91356038,13,3,0,0,6.88,1,63.0085259,18.98,1.44,0.010935639,0.688,20.64,6.1304
47297,19.1749943,0.0071091,3,48,215.2170686,8,3,7,10,9.152,1,131.5562807,56.55,2.52,0.002657782,0.572,27.456,15.6864
5391,19.85945699,0.02,3,30,221.5109991,2,2,0,0,7.549,1,63.0085259,11.18,7.14,0.002271971,0.503266667,15.098,8.648
