,Algorithm,Model,Dataset,AUC Score,Weighted F1 Score,K Kold,Repeatition,Scenario,CV Method
1,LR,Full Data Optimized,Training,0.831919,0.646665,3,2,SMOTE on ALL,K3R2
2,LR,Full Data Optimized,Test,0.839603,0.667507,3,2,SMOTE on ALL,K3R2
3,RFC,Full Data Optimized,Training,0.99988,0.987946,3,2,SMOTE on ALL,K3R2
4,RFC,Full Data Optimized,Test,0.978762,0.904843,3,2,SMOTE on ALL,K3R2
5,SVC,Full Data Optimized,Training,0.999588,0.992832,3,2,SMOTE on ALL,K3R2
6,SVC,Full Data Optimized,Test,0.980044,0.912236,3,2,SMOTE on ALL,K3R2
7,DT,Full Data Optimized,Training,0.996467,0.949951,3,2,SMOTE on ALL,K3R2
8,DT,Full Data Optimized,Test,0.894355,0.824061,3,2,SMOTE on ALL,K3R2
9,LR,Trimmed Data Optimized,Training,0.750677,0.7183,3,2,SMOTE on ALL,K3R2
10,LR,Trimmed Data Optimized,Test,0.69483,0.71531,3,2,SMOTE on ALL,K3R2
11,RFC,Trimmed Data Optimized,Training,0.993909,0.911734,3,2,SMOTE on ALL,K3R2
12,RFC,Trimmed Data Optimized,Test,0.773375,0.800055,3,2,SMOTE on ALL,K3R2
13,SVC,Trimmed Data Optimized,Training,0.998907,0.995813,3,2,SMOTE on ALL,K3R2
14,SVC,Trimmed Data Optimized,Test,0.622397,0.751245,3,2,SMOTE on ALL,K3R2
15,DT,Trimmed Data Optimized,Training,0.95776,0.837494,3,2,SMOTE on ALL,K3R2
16,DT,Trimmed Data Optimized,Test,0.664929,0.665141,3,2,SMOTE on ALL,K3R2
17,LR,Full Data Optimized,Training,0.830737,0.648726,3,3,SMOTE on ALL,K3R3
18,LR,Full Data Optimized,Test,0.838408,0.662361,3,3,SMOTE on ALL,K3R3
19,RFC,Full Data Optimized,Training,0.99988,0.987946,3,3,SMOTE on ALL,K3R3
20,RFC,Full Data Optimized,Test,0.978762,0.904843,3,3,SMOTE on ALL,K3R3
21,SVC,Full Data Optimized,Training,0.999588,0.992832,3,3,SMOTE on ALL,K3R3
22,SVC,Full Data Optimized,Test,0.980044,0.912236,3,3,SMOTE on ALL,K3R3
23,DT,Full Data Optimized,Training,0.996467,0.949951,3,3,SMOTE on ALL,K3R3
24,DT,Full Data Optimized,Test,0.894355,0.824061,3,3,SMOTE on ALL,K3R3
25,LR,Trimmed Data Optimized,Training,0.750677,0.7183,3,3,SMOTE on ALL,K3R3
26,LR,Trimmed Data Optimized,Test,0.69483,0.71531,3,3,SMOTE on ALL,K3R3
27,RFC,Trimmed Data Optimized,Training,0.993909,0.911734,3,3,SMOTE on ALL,K3R3
28,RFC,Trimmed Data Optimized,Test,0.773375,0.800055,3,3,SMOTE on ALL,K3R3
29,SVC,Trimmed Data Optimized,Training,0.998907,0.995813,3,3,SMOTE on ALL,K3R3
