Asset Type,Inspection Date,Depth,Cons Location Score,Flood Design Score,INV DATE,PACP Shape,PACP Height,PACP Mater,CONST DATE,Length,Encoded Hydro Group,Precipitation,Risk
pipe,43822.71,1.5,10,2,39723,C,15,RCP,22899,27.02548948,1,3.777,8.832
structure,43888.67,3.5,6,2,41345,C,15,RCP,35431,47.49665897,1,3.714,14
structure,43892.67,10,8,2,34277,C,12,RCP,29952,23.16620955,1,3.826,6.0384
structure,43852.71,15.2,0,2,43920,C,36,RCP,0,65.28039996,1,3.717,24.14
pipe,44186.71,3,0,2,43909,C,54,RCP,39906,20.71437547,1,3.735,2.574
structure,43005.67,7.2,6,2,43620,C,15,RCP,0,59.15335659,3,3.713,32.24
pipe,44340.67,3.8,0,0,43185,C,15,RCP,23012,56.06203706,1,3.788,13.8
pipe,43955.67,26,8,0,37847,C,72,RCP,37847,78.1488345,2,3.804,25.92
connectivity,44036.67,1,3,8,36783,C,30,RCP,36783,221.5109991,1,3.822,8.648
pipe,44460.67,5,0,2,43528,C,15,RCP,32874,223.8121497,3,3.756,18.9104
pipe,44133.71,7,0,2,44152,C,36,RCP,35065,193.2871284,1,3.753,10.088
pipe,43804.71,4,0,2,36035,C,30,RCP,36035,166.2422548,2,3.849,1.904
structure,43985.67,6,10,2,44299,C,24,RCP,35620,151.4405475,2,3.865,27.3056
structure,43985.67,6.7,10,2,34305,C,12,RCP,20821,19.17191935,1,3.887,27.3056
pipe,44384.67,4.5,0,2,42906,C,15,RCP,37622,342.5648849,4,3.729,20.384
pipe,44384.67,4.5,0,2,42906,C,15,RCP,37622,342.5648849,4,3.729,22.2656
pipe,44460.67,5,0,2,44084,C,15,RCP,32874,209.428826,1,3.758,18.2192
structure,43005.67,7.2,6,2,44151,C,15,RCP,38012,87.53088991,2,3.759,13.16
structure,43853.71,2.4,0,2,43620,C,15,RCP,36161,30.84241784,2,3.694,1.472
structure,44201.71,0.1,0,2,34341,C,18,RCP,31048,239.0348056,1,3.918,1.904
pipe,43955.67,5,0,2,41424,C,54,RCP,34075,72.53028273,2,3.87,33.792
channel,43733.71,1.2,0,2,35501,C,15,RCP,35501,38.79657657,3,3.707,7.04
pipe,44306.67,3,0,2,43922,C,24,RCP,35796,51.87530567,2,3.717,1.088
structure,43838.67,9.5,8,2,44342,C,30,RCP,37113,89.43449012,3,3.681,6.8544
pipe,43815.67,6.7,6,8,42180,C,42,CMP,37288,42.07708126,2,3.883,21.5024
pipe,43948.67,2.75,0,2,37692,C,18,RCP,37692,32.92854383,2,3.705,16.3664
pipe,43810.67,8.9,8,0,43069,C,48,RCP,37437,41.37529837,1,3.805,3.7296
pipe,43810.67,9.3,8,0,43069,C,54,CMP,37437,121.2174737,1,3.805,23.9904
pipe,43607.67,12.5,8,0,44257,C,84,CMP,36607,73.65626734,3,3.71,43.344
connectivity,44012.71,0.5,10,8,44250,C,18,RCP,37692,12.91219227,2,3.705,14.592
