,Age at inspection,"PACP_Heigh, IN",Length,Hydro  group encoded,flood design score,"Precipitation, mon avg, in.",Depth,Risk
0,57.28599133,15,27.02548948,1,2,3.777,1.5,8.832
1,23.15582934,15,47.49665897,1,2,3.714,3.5,14
2,38.16746521,12,23.16620955,1,2,3.826,10,6.0384
3,120.062172,36,65.28039996,1,2,3.717,15.2,24.14
4,0.760323979,54,20.71437547,1,2,3.735,3,2.574
5,117.7430983,15,59.15335659,3,2,3.713,7.2,32.24
6,58.39470682,15,56.06203706,1,0,3.788,3.8,13.8
7,16.72461784,72,78.1488345,2,0,3.804,26,25.92
8,19.85945699,30,221.5109991,1,8,3.822,1,8.648
9,31.72256445,15,223.8121497,3,2,3.756,5,18.9104
10,24.82877025,36,193.2871284,1,2,3.753,7,10.088
11,21.27230208,30,166.2422548,2,2,3.849,4,1.904
12,22.90394707,24,151.4405475,2,2,3.865,6,27.3056
13,63.42140087,12,19.17191935,1,2,3.887,6.7,27.3056
14,18.51517226,15,342.5648849,4,2,3.729,4.5,20.384
15,18.51517226,15,342.5648849,4,2,3.729,4.5,22.2656
16,31.72256445,15,209.428826,1,2,3.758,5,18.2192
17,13.67191421,15,87.53088991,2,2,3.759,7.2,13.16
18,21.06148757,15,30.84241784,2,2,3.694,2.4,1.472
19,36.01289071,18,239.0348056,1,2,3.918,0.1,1.904
20,27.05179101,54,72.53028273,2,2,3.87,5,33.792
21,22.53992699,15,38.79657657,3,2,3.707,1.2,7.04
22,23.30093543,24,51.87530567,2,2,3.717,3,1.088
23,18.41387178,30,89.43449012,3,2,3.681,9.5,6.8544
25,17.12981976,18,32.92854383,2,2,3.705,2.75,16.3664
26,17.4501483,48,41.37529837,1,0,3.805,8.9,3.7296
29,17.30515629,18,12.91219227,2,8,3.705,0.5,14.592
30,17.30241843,12,137.8671847,3,8,3.707,0.5,14.592
32,19.18332193,15,118.5846727,4,2,3.691,3.5,10.868
33,18.32626055,18,33.67486366,2,2,3.826,5,1.904
34,15.74172941,15,75.00134615,1,0,3.822,8.5,20.9952
35,32.55487109,48,144.4267171,4,2,3.84,12,25.584
36,16.76579968,15,103.8131113,1,2,3.711,5.3,5.3312
37,16.76579968,15,25.7874209,1,2,3.711,5.5,1.904
38,17.05863564,24,275.9867687,2,2,3.698,4.7,5.5568
39,17.4501483,60,26.0159604,1,2,3.712,5,12.7232
40,17.87177732,54,37.55568373,2,0,3.883,14,3.8472
41,108.7738992,54,297.9944106,2,0,3.883,11.45,3.4272
42,17.87177732,54,72.48291639,2,0,3.883,9.35,3.4272
43,34.76705453,24,96.15172703,1,2,3.72,0,7.2944
46,64.62879306,36,40.48067495,2,2,3.732,9,20.8608
47,16.30025097,15,49.64518704,2,2,3.752,9.2,8.832
49,16.7602099,15,89.40694231,1,2,3.822,4,14.8332
51,57.67738992,12,20.44696907,2,0,3.751,2,5.5552
53,22.55350217,12,13.12061928,4,2,3.879,3,16.2368
55,33.11898243,36,120.1009146,4,2,3.791,5.5,12.896
56,58.05258955,15,68.65710773,2,8,3.792,2,7.2416
57,14.35911476,36,33.85442181,1,2,3.709,7,10.088
58,39.7143509,15,26.51357031,1,2,3.787,1,1.472
59,41.94569929,15,49.37555199,2,8,3.738,2,36.3936
62,21.29682866,36,95.03066432,4,0,3.783,0,9.9188
63,23.10654803,18,92.16955732,4,2,3.826,8,19.4192
65,19.80196213,15,34.5850127,4,2,3.786,5.5,12.992
67,19.50365047,15,48.57624611,4,2,3.718,4,5.8
71,18.60004563,24,163.2439157,2,3,3.787,1.5,14.6076
72,13.95117499,24,33.34147922,1,2,3.738,4.6,17.2208
73,21.32420716,24,155.0997589,4,2,3.743,6.5,10.976
74,23.24344057,24,89.83999147,1,2,3.769,4.2,12.824
75,23.94444444,18,191.0890181,4,2,3.719,5,6.6048
76,23.21058636,15,152.9064681,4,2,3.735,1,3.612
77,31.47068218,18,235.0579515,1,2,3.92,7,17.264
78,37.99771846,18,31.23155189,4,2,3.739,2.1,3.564
79,22.39470682,15,99.26801235,2,2,3.762,2,30.03
80,22.03057267,24,25.72319352,2,2,3.766,3.5,12.8576
81,18.9287018,24,84.60974221,1,2,3.727,7.5,6.8552
82,22.81359799,24,133.7132319,2,2,3.834,5,6.968
83,59.93075519,24,39.65567616,1,2,3.727,7,7.1456
86,17.88558065,15,89.54067,1,0,3.694,4,21.948
90,50.53433721,18,105.4757709,1,0,3.791,4,6.2712
91,24.5767739,48,180.9891819,1,2,3.874,12.5,17.888
92,26.23043577,15,189.5104991,2,2,3.751,3.5,21.0512
93,17.88558065,15,20.63290884,1,0,3.694,4,16.284
97,28.44261921,36,126.9565334,1,8,3.752,0,8.0264
98,41.30778006,15,301.4050335,2,2,3.894,6,14.98
100,21.83070956,60,101.4416215,4,0,3.769,8.5,6.8376
101,30.42767511,24,229.826992,1,2,3.77,8.6,13.2912
102,42.61373488,18,168.3067909,2,2,3.894,5,16.1216
103,27.42140087,15,40.5516796,1,2,3.754,5,14.0672
104,39.6131645,15,60.68431771,2,2,3.699,4,18.0992
105,56.51927903,30,9.492341465,2,2,3.87,4,17.888
107,32.42904403,60,67.63830517,2,8,3.888,7,38.192
108,56.51927903,30,32.91391799,2,2,3.87,4,2.72
109,56.51927903,30,32.91391799,2,2,3.87,4,14.8256
110,41.14898471,15,29.30852777,1,0,3.88,3.6,19.116
111,18.06342688,15,140.2318838,1,2,3.697,4.5,31.1168
112,36.71640429,24,152.7850167,2,2,3.92,4.1,14.924
113,38.94501483,15,123.1536555,2,0,3.873,2,18.3456
114,59.91147616,30,266.0740398,4,2,3.745,9.5,24.8784
115,19.06821812,54,97.21551531,2,0,3.719,13.7,11.0656
116,20.9107917,48,117.1224865,2,0,3.72,11.9,31.248
118,25.49395391,15,51.20979606,4,2,3.901,1.3,9.145
121,35.43509012,18,447.0503683,1,2,3.733,7,25.3328
122,59.95254392,18,60.95069508,1,2,3.751,2.6,0
123,26.23602555,48,74.35125997,1,2,3.72,5,16.6242
125,19.83481634,15,23.81158573,4,2,3.82,7.4,10.8896
126,35.43509012,24,39.23858576,1,2,3.733,6.4,29.432
127,27.94433037,30,96.62432383,4,2,3.719,8.49,8.1696
128,54.94227698,15,23.28005657,1,2,3.729,5.9,6.7712
129,25.55692448,36,171.9506127,1,2,3.733,7.25,19.1984
131,32.28929957,15,53.92646726,4,2,3.722,5,14.168
132,22.78348163,48,86.02846693,1,2,3.719,3.6,14.168
136,22.6630162,18,172.1108525,2,3,3.703,2.3,14.3748
137,17.8828428,18,25.43012753,1,3,3.74,3.6,12.2304
138,23.82386493,15,21.59909345,1,8,3.902,3.1,10.88
139,19.80743783,15,89.36976856,3,2,3.705,7.2,3.536
140,24.31394022,15,49.81236796,3,2,3.707,6.4,3.536
141,30.51243441,18,200.1072554,2,2,3.826,5,17.576
142,18.64111339,15,167.8487881,2,2,3.722,3.1,5.2256
143,21.51585672,36,107.955141,2,2,3.755,11,20.8608
144,20.34679443,15,80.15311531,4,2,3.757,12,18.4992
145,47.02167465,42,72.5542017,4,2,3.721,7.5,23.504
146,20.08133698,30,62.91356038,2,8,3.756,1,6.1304
147,61.35979922,12,24.02323485,1,2,3.763,2.5,6.8448
148,20.96566279,15,41.66410434,1,2,3.756,8,19.5708
149,41.04357746,24,41.88420322,1,8,3.731,3,9.6768
151,22.37827972,60,118.9883408,2,0,3.877,6.9,13.6344
152,61.72119553,12,47.55948238,4,2,3.732,8.5,12.096
153,26.70134611,15,122.2634229,2,2,3.734,8.5,11.388
154,19.8923112,15,200.7854517,3,2,3.864,5,11.0864
155,19.65685603,15,200.7854517,3,2,3.864,5,20.384
156,22.79990874,15,64.01846453,2,2,3.734,7.5,14.7392
159,25.51311887,15,50.23909294,1,2,3.802,5,22.6064
160,37.51311887,30,144.9874309,1,2,3.792,5,3.68
162,41.16267397,15,32.32797275,1,8,3.731,3,18.7252
163,20.35500799,15,55.20198398,1,2,3.732,1.4,3.036
164,13.44193475,60,96.48451995,2,0,3.696,9,27.4224
167,32.18526124,18,138.6337511,1,3,3.73,5,14.8512
170,12.99840292,48,252.3839014,4,2,3.783,9,24.816
171,19.72541638,24,68.78041031,1,2,3.781,12,5.52
172,39.39139859,15,14.46703012,2,0,3.76,2,10.3936
173,40.42356833,15,14.46703012,2,0,3.76,2,10.8192
174,19.1749943,48,215.2170686,2,8,3.771,1,15.6864
175,40.19895049,42,175.2596247,1,2,3.794,12,13.8768
177,41.2886151,15,37.37672273,4,2,3.734,5.5,14.6288
178,41.2886151,15,51.61043139,4,2,3.734,5,14.6288
180,39.39139859,15,40.1084156,2,0,3.76,2,9.184
181,39.39139859,15,40.1084156,2,2,3.76,2,10.3472
182,40.45094684,15,40.1084156,2,0,3.76,2,14.3592
183,32.59331508,30,149.2976667,1,0,3.733,8,9.0792
184,63.32557609,30,29.26903104,4,8,3.768,2.6,10.88
185,65.82249601,15,295.0008454,1,8,3.798,2,10.88
187,12.89721652,24,80.20203319,4,2,3.702,5.2,19.2512
188,36.96292494,15,101.6922064,1,2,3.73,5.5,26.0144
189,12.9930413,48,290.1352854,2,2,3.904,5.5,6.44
190,32.3933379,24,72.93515092,1,0,3.689,4.2,1.056
192,19.47900981,15,196.5277524,3,8,3.704,0,7.2416
193,13.3708647,18,21.8996674,1,2,3.814,3,13.4524
