AssetID,Invest_ID,Address,Asset_Type,StreetWater,Inspection Date,Depth,Clogging,Clogging score,Clog_Flooding,C_Flood no missing,Cons. location (C/F),Cons. location (C/F) score,Flooding design std.,flood design score,Flood_Resp,Flood_LOF,Flood_COF,Flood_Risk,Crit_Defect,Cond_Resp,Cond_LOF,Cond_COF,Cond_Risk,LOF,COF,Risk,OBJECTID,PIPE_ID,INV_DATE,TYPE,PI_SHAPE,PI_SHP_OTH,PACP_Shape,"DIAMETER,FT",DIAM_OTHER,PIPE_RISE,PIPE_SPAN,"PACP_Heigh, IN",PACP_Width,PACP_Notes,MATERIAL,PACP_Mater,US_ID,US_DEPTH,US_INVERT,US_ELEV,US_FUNC,DS_ID,DS_DEPTH,DS_INVERT,DS_ELEV,DS_FUNC,SLOPE,ENABLED,CONST_DATE,Age at inspection,Active,EditDate,ShapeSTLen,MUKEY,Soil Type,soil descriptio,hydrologic,Hydro  group encoded,"Precipitation, mon avg, in."
56,12263,940 N. Davidson St.,pipe,yes,12/23/2019,1.5,greater_than_75%,10,yes,yes,thoroughfare,10,unknown,2,10,4.8,6.8,32.64,1,0,1.4,0.8,1.12,2.76,3.2,8.832,7601608,SBMKT08.655-PP1,10/2/2008,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,SBMKT08.655,1.9,699.1,701,No,SBMKT08.656,1.3,698.7,700, ,0.01480084,0,9/10/1962,57.29,1,2/16/2021,27.02548948,113660,CuB,"Cecil-Urban land complex, 2 to 8 percent slopes",B,1,3.777
166,12900,12423 JACQUELYN CT ,structure,yes,2/27/2020,3.5,less_than_25%,0,no,no,local,6,,2,10,1.3,5,6.5,1,10,3.8,5,19,2.8,5,14,7684662,CHARX.31761-P,10/3/2008,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,CHARX.31761,6.2,644.8,651,Yes,CHARX.31762,5.8,644.2,650,Yes,0.01263247,1,1/1/1997,23.16,1,2/16/2021,47.49665897,113658,CeB2,"Cecil sandy clay loam, 2 to 8 percent slopes, eroded",B,1,3.714
445,10967,2901 Oneida Rd,structure,yes,3/2/2020,10,less_than_25%,0,no,no,collector_,8,,2,10,1.3,7.5,9.75,1,0,1.4,2.4,3.36,1.36,4.44,6.0384,7593760,CHARX.36074-PP1,10/4/2008,Pipe,Circular, ,C,1,0,0,0,12,0, ,Concrete,RCP,CHARX.36074,1,815,816,Yes,CHARX.36079,1,814,815,Yes,0.04316632,1,1/1/1982,38.17,1,8/15/2018,23.16620955,113658,CeB2,"Cecil sandy clay loam, 2 to 8 percent slopes, eroded",B,1,3.826
1632,12504,2323 CENTER PARK DR ,structure,yes,1/22/2020,15.2,less_than_25%,0,no,no,,0,,2,5,1.3,4.25,5.525,1,5,8.6,4.25,36.55,5.68,4.25,24.14,7572530,CHARX.42150-P,10/5/2008,Pipe,Circular, ,C,2,0,0,0,36,0, ,Concrete,RCP,CHARX.42150,16,615,631,Yes,CHARX.42152,2.3,607.7,610,Yes,0.1118253,1,1/0/1900,120.06,1,3/29/2021,65.28039996,113683,PaE,"Pacolet sandy loam, 15 to 25 percent slopes",B,1,3.717
1884,21077,6353 Kelsey Dr.,pipe,yes,12/21/2020,3,between_50%_to_75%,7,no,no,,0,unknown,2,5,3.75,1.55,5.8125,1,0,1.4,0.8,1.12,2.34,1.1,2.574,7606428,CHARX.43520-P,10/6/2008,Pipe,Circular, ,C,4.5,0,0,0,54,0, ,Concrete,RCP,CHARX.43520,6,728,734,Yes,CHARX.43521,0,0,741,UNK,0,1,4/3/2009,12.21,1,2/16/2021,20.71437547,113660,CuB,"Cecil-Urban land complex, 2 to 8 percent slopes",B,1,3.735
2308,10953,1225 Weymouth Ln,structure,yes,9/27/2017,7.2,less_than_25%,0,no,no,local,6,unknown,2,10,1.3,6.2,8.06,1,10,7.8,6.2,48.36,5.2,6.2,32.24,7651475,CHARX.47774-P,10/7/2008,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,CHARX.47774,2,589,591,Yes,SUG649-7642,1.5,588.5,590,Yes,0.00845261,1,1/0/1900,117.74,1,2/16/2021,59.15335659,113674,IrB,"Iredell fine sandy loam, 1 to 8 percent slopes",C/D,3,3.713
4046,22851,5901 Sardis Rd,pipe,yes,5/24/2021,3.8,less_than_25%,0,no,no,,0,meets_cds,0,10,0,2.3,0,1,10,4.6,6.8,31.28,2.76,5,13.8,7673376,CHARX.55245-P,10/8/2008,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,CHARX.55245,3.8,740.2,744,Yes,CHARX.55246,4.2,737.8,742,Yes,0.04280972,1,1/1/1963,58.39,1,1/16/2020,56.06203706,113658,CeB2,"Cecil sandy clay loam, 2 to 8 percent slopes, eroded",B,1,3.788
4845,11195,5722 Southminster Ln,pipe,yes,5/4/2020,26,less_than_25%,0,no,no,collector_,8,meets_cds,0,10,0,8,0,1,10,5.4,8,43.2,3.24,8,25.92,7664244,CHARX.80349-PP1,10/9/2008,Pipe,Circular,1x culvert,C,6,0,0,0,72,0, ,Concrete,RCP,CHARX.80349,8.5,731.98,739.48,Yes,LON309-SWO116616,8.5,729.78,738.28,Yes,0,1,8/14/2003,16.72,1,3/26/2018,78.1488345,113665,EnB,"Enon sandy loam, 2 to 8 percent slopes",C,2,3.804
5391,18125,8115 Sealey Ct,connectivity,yes,7/24/2020,1,less_than_25%,0,no,no,crawl_space,3,fails_retrofit,8,0,5.2,2.15,11.18,1,0,4.2,1.7,7.14,4.6,1.88,8.648,7670478,CHARX.80317-PP1,10/10/2008,Pipe,Circular, ,C,2.5,0,0,0,30,0, ,Concrete,RCP,CHARX.80317,5.5,809.7,815.2,Yes,CHARX.80318,6,808.6,814.6,Yes,0,1,9/14/2000,19.86,1,3/26/2018,221.5109991,113658,CeB2,"Cecil sandy clay loam, 2 to 8 percent slopes, eroded",B,1,3.822
5547,24146,5710 Cary Ridge Dr,pipe,yes,9/21/2021,5,less_than_25%,0,no,no,,0,unknown,2,10,1.3,2.3,2.99,1,10,6.2,5.9,36.58,4.24,4.46,18.9104,7550424,CHARX.58452-P,10/11/2008,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,CHARX.58452,6.1,645.9,652,Yes,CHARX.58453,3.8,644.2,648,Yes,0.00759566,1,1/1/1990,31.72,1,2/16/2021,223.8121497,113674,IrB,"Iredell fine sandy loam, 1 to 8 percent slopes",C/D,3,3.756
