,Algorithm,Model,Dataset,AUC Score,Weighted F1 Score,Train Test Split,Scenario
0,LR,Full Data Optimized,Training,0.83198,0.649035,70/30,SMOTE on ALL
1,LR,Full Data Optimized,Test,0.835516,0.659131,70/30,SMOTE on ALL
2,RFC,Full Data Optimized,Training,0.999908,0.992849,70/30,SMOTE on ALL
3,RFC,Full Data Optimized,Test,0.974568,0.899068,70/30,SMOTE on ALL
4,SVC,Full Data Optimized,Training,0.999514,0.991808,70/30,SMOTE on ALL
5,SVC,Full Data Optimized,Test,0.976068,0.905531,70/30,SMOTE on ALL
6,DT,Full Data Optimized,Training,0.984232,0.903162,70/30,SMOTE on ALL
7,DT,Full Data Optimized,Test,0.889129,0.800834,70/30,SMOTE on ALL
8,LR,Trimmed Data Optimized,Training,0.739692,0.716705,70/30,SMOTE on ALL
9,LR,Trimmed Data Optimized,Test,0.706556,0.70883,70/30,SMOTE on ALL
10,RFC,Trimmed Data Optimized,Training,0.996046,0.907533,70/30,SMOTE on ALL
11,RFC,Trimmed Data Optimized,Test,0.776333,0.759922,70/30,SMOTE on ALL
12,SVC,Trimmed Data Optimized,Training,0.998685,0.998801,70/30,SMOTE on ALL
13,SVC,Trimmed Data Optimized,Test,0.607127,0.748846,70/30,SMOTE on ALL
14,DT,Trimmed Data Optimized,Training,0.961231,0.843213,70/30,SMOTE on ALL
15,DT,Trimmed Data Optimized,Test,0.657796,0.647843,70/30,SMOTE on ALL
16,LR,Full Data Optimized,Training,0.830737,0.648726,80/20,SMOTE on ALL
17,LR,Full Data Optimized,Test,0.838408,0.662361,80/20,SMOTE on ALL
18,RFC,Full Data Optimized,Training,0.99988,0.987946,80/20,SMOTE on ALL
19,RFC,Full Data Optimized,Test,0.978762,0.904843,80/20,SMOTE on ALL
20,SVC,Full Data Optimized,Training,0.999588,0.992832,80/20,SMOTE on ALL
21,SVC,Full Data Optimized,Test,0.980044,0.912236,80/20,SMOTE on ALL
22,DT,Full Data Optimized,Training,0.996467,0.949951,80/20,SMOTE on ALL
23,DT,Full Data Optimized,Test,0.894355,0.824061,80/20,SMOTE on ALL
24,LR,Trimmed Data Optimized,Training,0.75223,0.722792,80/20,SMOTE on ALL
25,LR,Trimmed Data Optimized,Test,0.69607,0.722458,80/20,SMOTE on ALL
26,RFC,Trimmed Data Optimized,Training,0.993909,0.911734,80/20,SMOTE on ALL
27,RFC,Trimmed Data Optimized,Test,0.773375,0.800055,80/20,SMOTE on ALL
